smiles	class	activity	id
C#CCNC[C@H]1c2ccc(c(c2C[C@H](O1)C3CCCCC3)O)O	active	1.0	OTQGSZPQJUEZOA-ROUUACIJSA-N
C#CC[C@H]1Cc2c(ccc(c2O)O)[C@@H](O1)C[NH3+]	active	1.0	LWUHQVZWIKZZFZ-UFBFGSQYSA-O
C#CC[N@@H+]1CCC[C@@H]2[C@@H]1Cc3cccc(c3C2)O	active	1.0	LWAYUBPNHKMRNZ-ZFWWWQNUSA-O
C#CC[N@@]1CCC[C@@H]2[C@@H]1Cc3cccc(c3C2)O	active	1.0	LWAYUBPNHKMRNZ-ZFWWWQNUSA-N
C#CC[NH2+]C[C@H]1c2ccc(c(c2C[C@H](O1)C3CCCCC3)O)O	active	1.0	OTQGSZPQJUEZOA-ROUUACIJSA-O
C(CC(=O)[O-])C[NH3+]	active	1.0	BTCSSZJGUNDROE-UHFFFAOYSA-N
C(CC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]	active	1.0	WHUUTDBJXJRKMK-VKHMYHEASA-M
C(CS(=O)(=O)[O-])[C@@H](C(=O)[O-])[NH3+]	active	1.0	VBOQYPQEPHKASR-VKHMYHEASA-M
C(CS(=O)(=O)[O-])[C@H](C(=O)[O-])[NH3+]	active	1.0	VBOQYPQEPHKASR-GSVOUGTGSA-M
C(CS)[C@@H](C(=O)[O-])[NH3+]	active	1.0	FFFHZYDWPBMWHY-VKHMYHEASA-N
C(C[S@](=O)[O-])[C@@H](C(=O)[O-])[NH3+]	active	1.0	PDNJLMZEGXHSCU-VKHMYHEASA-M
C(C[S@](=O)[O-])[C@H](C(=O)[O-])[NH3+]	active	1.0	PDNJLMZEGXHSCU-GSVOUGTGSA-M
C([C@@H](C(=O)[O-])[NH3+])S	active	1.0	XUJNEKJLAYXESH-REOHCLBHSA-N
C([C@@H](C(=O)[O-])[NH3+])S(=O)(=O)[O-]	active	1.0	XVOYSCVBGLVSOL-REOHCLBHSA-M
C([C@@H](C(=O)[O-])[NH3+])SSC[C@@H](C(=O)[O-])N	active	1.0	LEVWYRKDKASIDU-IMJSIDKUSA-M
C([C@@H](C(=O)[O-])[NH3+])SSC[C@@H](C(=O)[O-])[NH3+]	active	1.0	LEVWYRKDKASIDU-IMJSIDKUSA-N
C([C@@H](C(=O)[O-])[NH3+])[S@](=O)[O-]	active	1.0	ADVPTQAUNPRNPO-REOHCLBHSA-M
C/C(=C(/C#N)C(=O)CSc1nnc(s1)SCc2ccc(cc2)Cl)/N	active	1.0	XJIKXHYKGVSDCO-FMIVXFBMSA-N
